Date,Time,OVEN 1 [°F],OVEN 2 [°F],OVEN 3 [°F],OVEN 4 [°F],OVEN 5 [°F],OVEN 6 [°F],OVEN 1 AL,OVEN 2 AL,OVEN 3 AL,OVEN 4 AL,OVEN 5 AL,OVEN 6 AL,
10/05/2021,12:00:00,78.6,78.6,77.0,160.3,292.8,75.2,,,,,,,
10/05/2021,12:03:00,78.6,78.6,77.0,159.3,292.6,75.2,,,,,,,
10/05/2021,12:06:00,78.6,78.6,77.0,158.4,293.2,75.2,,,,,,,
10/05/2021,12:09:00,78.8,78.6,77.0,157.3,293.0,75.2,,,,,,,
10/05/2021,12:12:00,79.0,78.6,77.2,156.6,292.8,75.4,,,,,,,
10/05/2021,12:15:00,79.0,78.8,77.4,155.8,293.4,75.6,,,,,,,
10/05/2021,12:18:00,79.0,78.6,77.4,155.1,292.5,75.6,,,,,,,
10/05/2021,12:21:00,79.0,78.6,77.5,154.0,292.3,75.6,,,,,,,
10/05/2021,12:24:00,79.0,78.6,77.5,153.5,293.4,75.7,,,,,,,
10/05/2021,12:27:00,79.0,78.6,77.5,152.8,292.8,75.7,,,,,,,
10/05/2021,12:30:00,79.0,78.8,77.7,152.2,292.5,75.9,,,,,,,
10/05/2021,12:33:00,79.2,78.8,77.7,151.7,292.8,75.9,,,,,,,
10/05/2021,12:36:00,79.3,78.8,77.7,151.2,293.2,75.9,,,,,,,
10/05/2021,12:39:00,79.3,78.8,77.7,150.4,292.8,75.9,,,,,,,
10/05/2021,12:42:00,79.3,78.8,77.7,149.9,293.4,75.9,,,,,,,
10/05/2021,12:45:00,79.3,78.8,78.1,149.4,285.3,76.3,,,,,,,
10/05/2021,12:48:00,79.5,78.8,78.1,148.8,255.6,76.3,,,,,,,
10/05/2021,12:51:00,79.5,78.8,78.1,148.3,232.2,76.3,,,,,,,
10/05/2021,12:54:00,79.7,78.8,78.1,147.7,211.8,76.3,,,,,,,
10/05/2021,12:57:00,79.7,78.8,78.3,147.4,212.7,76.5,,,,,,,
10/05/2021,13:00:00,79.7,78.8,78.4,146.8,213.1,76.5,,,,,,,
10/05/2021,13:03:00,79.7,79.0,78.6,146.5,211.6,76.6,,,,,,,
10/05/2021,13:06:00,79.9,79.0,78.6,129.0,210.0,76.6,,,,,,,
10/05/2021,13:09:00,80.1,79.0,78.6,119.3,208.0,76.6,,,,,,,
10/05/2021,13:12:00,80.2,79.3,78.8,114.1,206.1,76.8,,,,,,,
10/05/2021,13:15:00,80.2,79.5,79.2,111.6,203.9,77.0,,,,,,,
10/05/2021,13:18:00,80.4,79.5,79.3,109.4,201.6,77.0,,,,,,,
10/05/2021,13:21:00,80.4,79.5,79.2,107.8,199.0,77.0,,,,,,,
10/05/2021,13:24:00,80.4,79.5,79.3,106.3,196.9,77.2,,,,,,,
10/05/2021,13:27:00,80.6,79.5,79.3,105.3,194.2,77.2,,,,,,,
10/05/2021,13:30:00,80.8,79.5,79.3,104.2,191.7,77.2,,,,,,,
10/05/2021,13:33:00,80.6,79.7,79.5,103.3,189.5,77.4,,,,,,,
10/05/2021,13:36:00,80.6,79.9,79.5,102.4,187.5,77.4,,,,,,,
10/05/2021,13:39:00,80.6,79.7,79.5,101.5,185.2,77.4,,,,,,,
10/05/2021,13:42:00,80.6,79.7,79.5,100.4,182.8,77.4,,,,,,,
10/05/2021,13:45:00,80.8,79.9,79.5,99.9,180.3,77.5,,,,,,,
10/05/2021,13:48:00,81.0,79.9,79.7,98.4,177.4,77.5,,,,,,,
10/05/2021,13:51:00,80.8,80.1,79.9,97.7,175.1,77.9,,,,,,,
10/05/2021,13:54:00,81.0,80.1,79.9,97.0,172.8,77.9,,,,,,,
10/05/2021,13:57:00,81.0,80.1,79.9,96.3,170.4,77.7,,,,,,,
10/05/2021,14:00:00,80.8,80.1,79.9,95.9,168.3,77.9,,,,,,,
10/05/2021,14:03:00,81.0,80.1,79.7,95.2,166.1,77.9,,,,,,,
10/05/2021,14:06:00,81.1,79.9,79.7,94.6,163.8,77.7,,,,,,,
10/05/2021,14:09:00,82.2,79.9,79.9,94.3,162.0,78.1,,,,,,,
10/05/2021,14:12:00,82.9,80.1,79.9,93.7,160.3,78.3,,,,,,,
10/05/2021,14:15:00,83.8,79.9,79.9,93.6,158.2,78.3,,,,,,,
10/05/2021,14:18:00,83.7,79.9,79.7,93.0,156.4,78.1,,,,,,,
10/05/2021,14:21:00,83.7,79.9,79.5,92.3,154.4,78.1,,,,,,,
10/05/2021,14:24:00,83.5,79.9,79.7,92.1,152.6,78.3,,,,,,,
10/05/2021,14:27:00,83.5,79.9,79.7,91.8,150.4,78.1,,,,,,,
10/05/2021,14:30:00,83.5,79.7,79.5,91.6,148.5,78.1,,,,,,,
10/05/2021,14:33:00,83.5,80.1,79.7,91.2,147.0,78.3,,,,,,,
10/05/2021,14:36:00,83.7,80.1,79.7,90.9,145.4,78.3,,,,,,,
10/05/2021,14:39:00,83.7,79.9,79.7,90.5,143.8,78.3,,,,,,,
10/05/2021,14:42:00,83.7,79.9,79.7,90.1,142.3,78.3,,,,,,,
10/05/2021,14:45:00,83.7,79.9,79.7,90.0,140.7,78.3,,,,,,,
10/05/2021,14:48:00,83.8,79.9,79.7,89.8,139.1,78.3,,,,,,,
10/05/2021,14:51:00,83.8,79.9,79.7,89.2,137.7,78.3,,,,,,,
10/05/2021,14:54:00,84.7,79.9,79.7,89.2,136.4,78.4,,,,,,,
10/05/2021,14:57:00,132.6,79.9,79.7,89.1,135.1,78.4,,,,,,,
10/05/2021,15:00:00,168.6,79.9,79.7,88.9,133.7,78.3,,,,,,,
10/05/2021,15:03:00,197.2,79.9,79.7,88.5,132.4,78.3,,,,,,,
10/05/2021,15:06:00,222.3,79.9,79.7,88.3,131.2,78.3,,,,,,,
10/05/2021,15:09:00,243.3,79.9,79.5,88.0,129.7,78.3,,,,,,,
10/05/2021,15:12:00,261.9,79.7,79.7,87.6,128.7,78.3,,,,,,,
10/05/2021,15:15:00,273.0,79.9,79.5,87.4,127.4,78.1,,,,,,,
10/05/2021,15:18:00,272.5,79.9,79.5,87.1,120.7,78.1,,,,,,,
10/05/2021,15:21:00,272.5,79.9,79.5,87.1,114.1,78.1,,,,,,,
10/05/2021,15:24:00,273.6,79.9,79.7,86.9,110.3,78.3,,,,,,,
